Album_type,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,official_video,EnergyLiveness,,,,,,,,,, 
single,0.798,0.62,-7.079,0.232,0.414,0.0192,0.112,0.235,120.031,true,5.53571428571429,,,,,,,,,,
single,0.748,0.841,-5.08,0.177,0.00445,0.00000133,0.0413,0.717,123.045,true,20.363196125908,,,,,,,,,,
single,0.66,0.942,-2.273,0.185,0.00789,0.0000176,0.834,0.543,126.017,true,1.1294964028777,,,,,,,,,,
single,0.79,0.764,-4.685,0.0737,0.0836,0.0871,0.132,0.473,123.046,true,5.78787878787879,,,,,,,,,,
single,0.652,0.855,-6.411,0.0775,0.00658,0.409,0.341,0.0834,127.964,true,2.50733137829912,,,,,,,,,,
album,0.747,0.833,-2.867,0.045,0.374,0,0.0586,0.687,128.008,true,14.2150170648464,,,,,,,,,,
album,0.795,0.8,-6.32,0.0309,0.0354,0.0000725,0.0915,0.934,116.032,true,8.74316939890711,,,,,,,,,,
album,0.504,0.904,-6.863,0.179,0.356,0.121,0.14,0.772,176.808,true,6.45714285714286,,,,,,,,,,
album,0.658,0.783,-4.615,0.113,0.0798,0.00018,0.187,0.491,126.027,true,4.18716577540107,,,,,,,,,,
album,0.601,0.532,-9.119,0.0286,0.432,0.00000625,0.0925,0.341,136.571,true,5.75135135135135,,,,,,,,,,
album,0.554,0.315,-11.028,0.0298,0.828,0.00000553,0.101,0.325,128.157,false,3.11881188118812,,,,,,,,,,
album,0.729,0.844,-8.824,0.0344,0.149,0.00000287,0.0604,0.777,131.459,true,13.9735099337748,,,,,,,,,,
album,0.414,0.428,-11.097,0.0278,0.382,0.000243,0.148,0.282,145.075,true,2.89189189189189,,,,,,,,,,
album,0.526,0.925,-5.584,0.0363,0.102,0.0000089,0.305,0.819,140.308,true,3.0327868852459,,,,,,,,,,
album,0.559,0.473,-7.712,0.0279,0.446,0.00141,0.154,0.397,121.227,true,3.07142857142857,,,,,,,,,,
single,0.594,0.935,-2.018,0.0357,0.243,0.00000236,0.102,0.602,113.99,true,9.16666666666667,,,,,,,,,,
album,0.789,0.858,-5.542,0.311,0.127,0,0.349,0.775,140.022,true,2.45845272206304,,,,,,,,,,
album,0.491,0.956,-1.538,0.392,0.0295,0,0.46,0.811,173.585,true,2.07826086956522,,,,,,,,,,
single,0.687,0.793,-4.254,0.166,0.0603,0,0.582,0.751,107.045,false,1.36254295532646,,,,,,,,,,
album,0.632,0.924,-1.802,0.29,0.281,0,0.263,0.441,86.844,false,3.51330798479087,,,,,,,,,,
album,0.654,0.75,-7.509,0.105,0.246,0.0178,0.167,0.557,92.78,true,4.49101796407186,,,,,,,,,,
album,0.261,0.852,-4.965,0.158,0.139,0.0000426,0.477,0.431,177.997,true,1.78616352201258,,,,,,,,,,
album,0.759,0.678,-5.148,0.314,0.23,0,0.15,0.327,89.64,true,4.52,,,,,,,,,,
album,0.754,0.631,-4.751,0.307,0.552,0,0.5,0.432,94.577,true,1.262,,,,,,,,,,
album,0.74,0.574,-6.938,0.245,0.411,0,0.262,0.33,149.762,false,2.19083969465649,,,,,,,,,,
album,0.73,0.576,-5.442,0.287,0.354,0.0000359,0.15,0.155,92.131,false,3.84,,,,,,,,,,
album,0.715,0.62,-6.005,0.0484,0.417,0,0.0822,0.172,97.95,true,7.54257907542579,,,,,,,,,,
album,0.561,0.52,-9.342,0.244,0.0503,0.00000186,0.355,0.424,153.15,false,1.46478873239437,,,,,,,,,,
album,0.529,0.673,-4.711,0.175,0.000307,0.00000241,0.093,0.366,165.921,true,7.23655913978495,,,,,,,,,,
album,0.671,0.658,-5.567,0.309,0.189,0.0000866,0.147,0.257,87.933,true,4.47619047619048,,,,,,,,,,
album,0.749,0.63,-6.652,0.116,0.0623,0,0.353,0.445,122.03,true,1.78470254957507,,,,,,,,,,
album,0.847,0.733,-6.439,0.16,0.00574,0.0000104,0.151,0.202,130.029,true,4.85430463576159,,,,,,,,,,
album,0.841,0.358,-8.368,0.591,0.0201,0,0.39,0.329,158.014,false,0.917948717948718,,,,,,,,,,
album,0.908,0.546,-10.491,0.323,0.0127,0,0.0707,0.225,131.016,true,7.72277227722772,,,,,,,,,,
album,0.773,0.701,-6.386,0.0512,0.01,0,0.163,0.203,129.963,false,4.30061349693252,,,,,,,,,,
album,0.849,0.424,-9.579,0.324,0.0635,0,0.0834,0.153,145.887,true,5.08393285371703,,,,,,,,,,
album,0.367,0.665,-2.821,0.0465,0.145,0,0.113,0.31,148.913,true,5.88495575221239,,,,,,,,,,
album,0.79,0.647,-5.983,0.136,0.0515,0,0.248,0.654,87.999,true,2.60887096774194,,,,,,,,,,
album,0.639,0.628,-7.578,0.0399,0.0381,0,0.386,0.43,90.482,true,1.62694300518135,,,,,,,,,,
album,0.789,0.858,-5.542,0.311,0.127,0,0.349,0.775,140.022,true,2.45845272206304,,,,,,,,,,
album,0.724,0.573,-4.113,0.0549,0.118,0,0.538,0.438,113.088,true,1.06505576208178,,,,,,,,,,
album,0.617,0.717,-7.858,0.153,0.00564,0,0.408,0.49,103.992,true,1.75735294117647,,,,,,,,,,
album,0.542,0.466,-8.665,0.0831,0.141,0.000445,0.125,0.124,191.385,true,3.728,,,,,,,,,,
album,0.669,0.419,-6.724,0.522,0.376,0,0.187,0.0397,109.813,false,2.24064171122995,,,,,,,,,,
album,0.667,0.747,-7.059,0.189,0.337,0,0.115,0.918,86.917,true,6.49565217391304,,,,,,,,,,
album,0.629,0.696,-5.572,0.348,0.0195,0,0.0554,0.623,93.034,true,12.5631768953069,,,,,,,,,,
album,0.78,0.877,-3.683,0.0427,0.148,0.00000236,0.0627,0.909,133.263,true,13.9872408293461,,,,,,,,,,
album,0.374,0.727,-4.352,0.0309,0.237,0,0.134,0.283,155.127,true,5.42537313432836,,,,,,,,,,
album,0.641,0.593,-7.884,0.0264,0.46,0,0.169,0.437,119.828,false,3.50887573964497,,,,,,,,,,
album,0.631,0.683,-8.788,0.0344,0.291,0,0.0994,0.708,97.959,true,6.87122736418511,,,,,,,,,,
album,0.54,0.367,-14.238,0.0277,0.0367,0,0.0433,0.252,70.276,false,8.47575057736721,,,,,,,,,,
album,0.401,0.499,-7.643,0.0272,0.217,0,0.149,0.262,144.276,true,3.3489932885906,,,,,,,,,,
album,0.542,0.665,-8.121,0.0297,0.522,0,0.177,0.417,147.977,true,3.75706214689266,,,,,,,,,,
album,0.389,0.443,-8.546,0.0304,0.571,0.00178,0.114,0.0888,76.54,true,3.8859649122807,,,,,,,,,,
album,0.389,0.71,-6.265,0.0351,0.161,0,0.918,0.666,160.397,true,0.773420479302832,,,,,,,,,,
album,0.663,0.579,-6.982,0.0269,0.645,0,0.189,0.48,89.929,true,3.06349206349206,,,,,,,,,,
album,0.78,0.689,-5.668,0.141,0.0368,0.00000969,0.0698,0.642,115.042,false,9.87106017191977,,,,,,,,,,
album,0.646,0.77,-6.596,0.226,0.00249,0,0.0715,0.681,99.165,true,10.7692307692308,,,,,,,,,,
album,0.545,0.641,-6.398,0.0998,0.00453,0.0000659,0.171,0.464,121.892,true,3.74853801169591,,,,,,,,,,
album,0.693,0.887,-5.039,0.0795,0.0581,0.00000271,0.27,0.864,114.942,false,3.28518518518519,,,,,,,,,,
album,0.508,0.72,-5.908,0.0628,0.272,0,0.0563,0.472,79.983,true,12.7886323268206,,,,,,,,,,
album,0.652,0.749,-5.248,0.0886,0.0848,0,0.604,0.651,94.103,true,1.24006622516556,,,,,,,,,,
album,0.903,0.519,-9.151,0.26,0.281,0.000106,0.155,0.587,114.991,true,3.34838709677419,,,,,,,,,,
single,0.587,0.299,-7.365,0.0263,0.779,0,0.123,0.356,94.992,true,2.43089430894309,,,,,,,,,,
album,0.583,0.621,-6.902,0.0479,0.00972,0.00106,0.181,0.399,140.036,true,3.43093922651934,,,,,,,,,,
album,0.732,0.899,-4.237,0.143,0.00496,0.0000464,0.372,0.759,127.091,true,2.41666666666667,,,,,,,,,,
single,0.872,0.681,-4.348,0.11,0.0462,0.0000138,0.129,0.481,96.986,true,5.27906976744186,,,,,,,,,,
album,0.744,0.868,-4.524,0.047,0.0326,0,0.0822,0.586,93.037,false,10.5596107055961,,,,,,,,,,
album,0.852,0.797,-6.543,0.0614,0.322,0.00000269,0.0845,0.741,96.008,false,9.43195266272189,,,,,,,,,,
album,0.812,0.855,-3.725,0.0554,0.0789,0.000167,0.108,0.573,90.04,true,7.91666666666667,,,,,,,,,,
album,0.819,0.741,-6.538,0.0412,0.104,0,0.283,0.84,97.014,false,2.61837455830389,,,,,,,,,,
album,0.655,0.797,-4.787,0.153,0.198,0,0.067,0.839,177.928,true,11.8955223880597,,,,,,,,,,
single,0.737,0.86,-2.652,0.0593,0.11,0.00000194,0.0574,0.656,93.989,true,14.9825783972125,,,,,,,,,,
album,0.77,0.804,-5.479,0.0623,0.16,0.00001,0.193,0.568,94.017,false,4.16580310880829,,,,,,,,,,
album,0.703,0.909,-4.456,0.0358,0.216,0.00000157,0.162,0.777,97.982,false,5.61111111111111,,,,,,,,,,
album,0.76,0.9,-4.782,0.0668,0.0715,0,0.221,0.761,100.046,false,4.07239819004525,,,,,,,,,,
album,0.733,0.685,-6.228,0.0533,0.363,0.000238,0.333,0.837,150.073,true,2.05705705705706,,,,,,,,,,
album,0.652,0.631,-5.718,0.0893,0.524,0.000579,0.165,0.35,127.998,true,3.82424242424242,,,,,,,,,,
album,0.629,0.692,-8.045,0.0376,0.00981,0.331,0.603,0.453,162.948,true,1.14759535655058,,,,,,,,,,
